1,25
1,5
1,2
2,18
2,1
3,5
3,7
3,13
4,6
4,4
5,5
5,14
5,2
6,17
7,9
8,2
8,5
9,9
9,5
9,2
10,3
10,4
11,25
12,23
13,19
14,21
14,1
14,17
15,16
15,7
16,17
17,9
18,11
18,25
19,2
19,3
19,15
20,18
20,23
21,4
22,16
23,12
23,1
23,15
24,14
24,2
25,21
25,1
26,14
27,4
27,8
28,8
29,8
29,17
30,16
30,1
31,16
31,24
31,23
32,11
32,2
32,13
33,23
33,1
33,24
34,22
35,1
35,12
35,2
36,2
36,2
36,16
37,1
38,18
38,2
38,16
39,2
39,15
39,25
40,17
40,2
41,25
41,1
41,21
42,1
43,3
43,17
44,25
44,4
45,25
45,4
46,21
46,1
47,14
47,23
48,19
48,21
49,22
49,12
49,1
50,19
51,24
51,3
51,25
52,22
52,11
53,18
54,25
54,4
54,5
55,19
56,13
56,18
56,11
57,1
57,2
58,9
58,23
58,1
59,8
60,13
60,5
61,2
61,12
61,23
62,9
62,8
63,2
63,17
64,12
65,23
65,4
66,4
66,1
66,5
67,9
67,3
68,23
69,21
69,19
70,6
71,1
71,19
72,1
72,22
72,7
73,21
73,17
74,7
74,2
74,17
75,3
76,21
77,18
78,13
79,9
79,23
80,25
81,1
81,9
82,23
82,13
83,17
83,14
84,5
85,14
85,2
86,6
87,23
87,4
88,2
88,12
88,1
89,7
90,2
90,25
91,16
91,12
92,15
93,3
93,8
94,6
94,9
95,3
95,7
96,1
97,9
98,3
98,14
99,1
99,13
99,5
100,13
100,21
101,2
101,22
101,25
102,23
102,4
102,21
103,23
103,2
104,2
104,6
105,25
106,7
106,17
107,23
107,8
108,1
108,18
109,5
109,6
110,6
110,5
111,4
111,16
112,2
112,17
112,3
113,3
113,6
114,14
114,17
114,8
115,23
115,19
116,14
116,4
117,18
118,19
119,9
119,15
119,21
120,13
120,14
121,6
121,16
122,13
122,16
123,4
123,13
124,25
124,8
125,8
125,9
125,12
126,1
126,2
127,5
127,8
127,22
128,21
129,3
129,12
130,7
130,13
131,9
131,4
132,4
132,24
133,12
134,15
134,19
135,2
135,2
135,4
136,16
136,11
137,2
137,13
138,1
139,14
140,11
140,17
141,22
142,18
142,4
143,7
143,17
143,6
144,21
144,2
145,2
146,3
146,18
146,1
147,25
147,13
147,2
148,22
148,2
149,7
149,9
149,19
150,11
151,24
151,13
151,2
152,6
153,15
153,5
153,22
154,19
154,25
155,5
156,1
157,13
157,14
157,24
158,25
159,15
159,6
159,18
160,12
161,4
161,1
162,13
163,3
164,25
164,1
164,6
165,21
165,19
166,2
166,22
166,24
167,18
167,9
167,2
168,15
168,23
169,13
169,14
169,21
170,1
170,8
171,15
172,16
173,7
173,25
174,21
175,19
175,6
176,18
176,2
176,4
177,22
177,15
178,6
178,13
178,2
179,2
179,9
179,5
180,13
180,7
181,15
181,25
182,8
182,19
182,6
183,21
183,4
183,22
184,1
184,8
185,14
186,24
187,23
187,15
188,15
189,17
190,4
190,9
191,4
192,15
192,4
193,1
193,17
194,4
194,16
195,8
196,24
196,1
197,19
197,21
198,6
199,5
199,16
199,17
200,12
201,1
202,5
203,21
203,16
204,13
204,1
205,19
205,17
205,3
206,4
206,3
206,18
207,17
208,18
209,11
209,9
209,2
210,4
210,3
210,23
211,25
212,17
212,16
212,1
213,16
213,11
214,9
214,19
214,15
215,2
216,13
216,16
216,5
217,6
217,23
217,2
218,21
218,24
218,22
219,23
220,4
221,24
221,23
221,3
222,6
222,14
223,12
223,24
224,24
225,2
225,23
225,5
226,22
227,16
227,25
227,22
228,23
228,19
228,15
229,22
230,5
231,1
231,1
231,14
232,12
232,2
232,13
233,8
234,4
234,23
235,1
235,13
235,8
236,6
236,21
237,25
238,7
238,17
239,8
240,23
240,14
241,8
241,2
242,23
243,7
244,24
244,19
244,14
245,12
246,25
247,24
247,1
248,24
248,6
248,22
249,11
250,21
250,25
250,2
251,13
252,13
252,6
252,16
253,2
253,4
253,21
254,23
254,1
255,9
255,21
255,23
256,11
256,5
257,1
257,7
257,12
258,11
259,22
259,21
260,21
260,4
260,8
261,18
261,4
261,7
262,12
262,15
263,1
264,12
264,3
264,25
265,2
266,1
266,6
267,7
267,19
267,18
268,16
268,12
269,2
269,7
270,21
270,7
271,9
271,18
271,24
272,1
273,4
273,7
273,24
274,15
274,5
274,13
275,21
275,12
275,1
276,19
276,16
277,17
277,2
278,25
279,1
279,4
279,19
280,17
280,21
281,8
281,1
281,2
282,16
282,23
283,22
284,3
285,14
286,18
286,14
286,17
287,2
288,24
288,15
289,21
290,25
291,4
291,18
291,3
292,3
293,19
293,8
293,4
294,13
295,18
296,5
296,23
296,11
297,25
297,3
297,16
298,13
298,24
299,8
300,13
300,2
301,14
301,1
302,24
303,3
304,12
305,18
305,15
306,18
307,21
308,11
309,3
310,21
310,12
310,5
311,8
312,9
312,24
312,19
313,9
314,13
314,15
314,2
315,12
315,8
315,6
316,11
316,14
317,2
317,5
318,24
318,11
319,2
319,19
319,8
320,3
321,18
321,8
322,17
323,16
323,25
324,25
324,14
324,3
325,7
326,13
326,1
327,5
328,24
329,8
329,13
330,2
330,3
331,7
332,1
332,16
332,15
333,4
333,3
333,21
334,11
334,4
335,13
335,7
335,2
336,13
336,16
337,16
337,23
338,1
339,22
340,13
340,17
340,8
341,9
341,2
342,4
342,25
343,16
343,12
343,1
344,9
345,3
345,2
346,24
346,14
347,14
347,9
348,13
348,5
348,19
349,3
349,16
349,1
350,4
351,1
351,11
351,12
352,1
352,3
353,25
354,17
354,2
355,19
355,11
356,15
356,3
357,4
357,5
357,23
358,24
358,17
358,8
359,2
359,2
360,23
360,15
360,24
361,2
362,15
362,9
362,1
363,12
364,1
365,23
365,18
366,9
366,18
367,17
368,17
369,13
369,2
370,3
371,15
372,2
373,1
373,17
373,16
374,2
374,21
375,18
375,8
375,12
376,21
376,7
376,8
377,15
377,12
377,24
378,12
378,1
378,3
379,12
380,6
380,19
380,9
381,1
382,1
382,2
383,4
383,21
384,12
384,1
385,12
385,5
385,7
386,6
386,1
387,8
387,21
387,3
388,13
389,11
390,1
390,3
391,16
391,9
392,21
392,14
393,5
393,13
394,23
395,25
395,8
396,24
396,7
397,8
397,18
398,9
398,21
398,6
399,14
399,12
400,18
400,25
400,11
401,24
402,2
402,1
403,17
404,12
405,14
405,25
406,15
406,9
406,8
407,22
407,14
407,1
408,14
408,2
408,5
409,13
409,17
409,12
410,5
410,2
410,9
411,18
412,1
413,15
413,1
414,15
414,19
414,21
415,25
415,8
416,6
416,18
416,4
417,14
